"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";153,116110601;-29,59314916;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,4416666667;-24,8916666667;"Australia";"TEN MILE GORGE 'GOONDICUM' E OF BANCROFT"; ;"1995-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,891928044;-31,011207322;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,976947812;-31,074015631;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,4513;-36,1411;"Australia";"O3663400"; ;"2008-12-09";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,1788;-36,3652;"Australia";"U7505000"; ;"1992-12-02";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,633138568;-32,959353433;"Australia";"locality withheld"; ;"2009-12-16";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,983218554;-30,943640198;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,920044904;-31,062704976;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,9866;-36,0144;"Australia";"F5557300"; ;"2004-12-10";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,018036474;-30,992825871;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,922338543;-29,588204355;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,190587873;-29,446087077;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,963866128;-30,959932302;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,17353263;-29,53083077;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,06642822;-29,684779071;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,898814143;-31,008108919;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";143,5388;-38,788;"Australia";"D3449000"; ;"2002-12-08";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,094679802;-29,644735741;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,055010561;-29,653052187;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,144325345;-29,406018422;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,88147569;-31,034306525;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,060238766;-29,635577331;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";141,5935;-38,3468;"Australia";"D00740"; ;"1899-12-30";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,996940997;-29,671709364;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,703;-37,8355;"Australia";"T2435900"; ;"2002-12-12";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,923711436;-30,960104326;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,25;-27,42;"Australia";"Brisbane."; ;"1939-12-20";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,857825123;-30,949707966;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,4236;-38,2177;"Australia";"B1406600"; ;"1983-12-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";146,820861044983;-41,7750564810768;"Australia";""; ;"1993-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,767044;-41,283307;"New Zealand";""; ;"1941-12-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,741;-41,1901;"New Zealand";""; ;"2010-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,37779064;-28,58703232;"Australia";"7KM SE OF GOONDIWINDI ALONG KILDONAN ROAD"; ;"2001-12-12";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,083532775;-29,63329038;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";171,345327;-42,115031;"New Zealand";""; ;"1982-12-15";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,111602774;-29,616293491;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,056089515;-29,623647949;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
